source,text,gemma3:12b_question,gemma3:12b_answer,category,content_category,gemma3:12b_answer_concise
https://www.pittsburghpa.gov/Business-Development/City-Planning/Commissions-and-Boards,"  The Naming Commission completes a report on the property or facility being named or renamed. This report includes the historic, artistic, and cultural background of any facility proposed to be named or renamed. For more information about the Naming Commission, please email City Planning at cityplanning@pittsburghpa.gov.      Naming Commission Application Naming Commission Legislation      5. Planning Commission (PC) Planning Commission meets every other Tuesday, with an August recess. Meetings start at 1:00 PM. The Planning Commission is a nine-member panel appointed by the Mayor for six-year, staggered terms. The Commission is charged with guiding land use and land development within the City. The Planning Commission also makes recommendations to City Council concerning the Zoning Ordinance and zoning maps, and reviews major development, redevelopment proposals, master plans, conditional uses, lot consolidations and subdivisions, and historic nominations.",What is the Planning Commission charged with guiding within the City?,The Planning Commission is charged with guiding land use and land development within the City.,Specific information questions,General Info and History of Pittsburgh/CMU,Land use and development.
https://www.pittsburghpa.gov/Business-Development/Mobility-and-Infrastructure/Transportation-Development-Review,"  Reserve Park ShelterSports Field Permit  City Government Sub-menu  MayorSub-menu  Biography2025 Governing AgendaMayor's CabinetYouth Civic Leadership AcademyPress ReleasesContactLetters of Support FormsExecutive OrdersOffice of Immigrant and Refugee AffairsMy Brother's KeeperCity-County BuildingKey Focus Areasi-teamCity ControllerSub-menu  About the ControllerFiscal Focus PGHAudits & ReportsPittsburgh WatchdogUnclaimed PropertyCampaign FinancesDisclosure of Interest ReportsCity CouncilSub-menu  DistrictsClerk's OfficeNeighborhoods & WardsLegislative InformationCouncil Budget OfficeCity Council ContactsBoards, Authorities, CommissionsSub-menu  Member RostersAgendas & MinutesList of Boards, Authorities, CommissionsLegal ServicesSub-menu  Department of LawOffice of Equal ProtectionCommission on Human RelationsEthics Hearing BoardOffice of Municipal InvestigationsCity OrdinancesFile a Claim with LawRight to KnowJobsSub-menu  CareersHuman Resources and Civil ServiceFinances & BudgetSub-menu  TaxesNew Business RegistrationReal EstateFee ScheduleCampaign FinancesManagement & BudgetContacts & InformationSub-menu  Frequently Requested NumbersCity Press Release ArchiveCity Channel Pittsburgh  Safety Sub-menu  PoliceSub-menu  Police ZonesPolice Officer RecruitmentFile a Police ReportSubmit a TipSubmit a Silent ComplaintCompliment an OfficerPolice Data PortalBranchesAbout PoliceFireSub-menu  Fire Station Location MapGirls Firefighter CampFire Permit InformationAnnual ReportsBureau of Fire ContactsAbout Bureau of FireFirefighter RecruitmentFire Safety ProgramsAnimal Care & ControlSub-menu",What types of services are provided by the Department of Law?,"The Department of Law provides legal services including the Office of Equal Protection, Commission on Human Relations, Ethics Hearing Board, and Office of Municipal Investigations.",Specific information questions,General Info and History of Pittsburgh/CMU,"Office of Equal Protection, Commission on Human Relations, Ethics Hearing Board, and Office of Municipal Investigations."
https://www.pittsburghpa.gov/Safety/Animal-Care-Control/Animal-Control-FAQs,"  Be proactive! Nobody expects a pet to go missing, so your pet should always wear a collar with an ID tag that has your phone number on it. Check the tag regularly to ensure it is still readable. Have your pet spayed or neutered. In addition to all the health benefits, it decreases an animal's desire to roam away from home. Pittsburgh residents are eligible for the City's free spay/neuter program for up to 5 pets! Check out the Spay/Neuter Program tab for an application and details. Get your pet microchipped this permanent form of ID can't be detached or obscured. Local shelters offer microchips at reduced rates. Make sure to keep your information updated with the microchip company if you move or get a new phone number Take photos of your pet (as if we had to ask you to do that!). Be sure to keep a few current ones on hand for emergency purposes If your pet has gotten away from you, call the local shelters. The open door shelter in Pittsburgh is Humane Animal Rescue at 412-345-7300. You need to file a lost report with them in case someone finds your pet. However, because descriptions may vary (you might call your dog tan while a shelter worker calls him yellow), it is best to visit the shelters in person. Making a flyer complete with color photos of your pet will help! You can bring a copy of the flyer to local shelters, post flyers around your neighborhood, and post the information to social media sites. Any animal picked up by Pittsburgh Animal Care and Control is taken to the Animal Rescue League, so if you've filed your lost report with them, you are covered if your pet is picked up by our officers",What phone number should be included on a pet's identification tag?,A pet's identification tag should always include your phone number to allow for easy contact if the pet goes missing.,Specific information questions,General Info and History of Pittsburgh/CMU,Your phone number.
payroll_tax_regulations.pdf,"-7-    SECTION 102 – WHO MUST FILE A RETURN     a. The City Code, Title II, Article VII, Chapter 258, imposes a Payroll Tax on all persons  that engage, hire, employ or contract with one or more individuals, as employees, to  perform work or render services within the City of Pittsburgh. The Payroll Tax is  computed on the employer’s payroll  expense .  The Payroll Tax on Partners and Self - Employed is computed based on Taxable Distributions  from any Business es.  b. One hundred percent of the payroll expense is attributable to the City of Pittsburgh for  Employers whose employees perform work or render services exclusively in the City of  Pittsburgh.   c. One hundred percent of a Partner’s  or Self -employed person’s Taxable Distributions  are attributable to the City of Pittsburgh for person(s) who have net income from sales  or services rendered exclusive ly in the City of Pittsburgh.   d. For employers whose employees perform work or render services partly within and  partly outside of the City of Pittsburgh, the method of computing their payroll expense  attributable to the City of Pittsburgh is to use the perce ntage of the total number of  working hours employed within the City of Pittsburgh compared to the total number of  working hours employed within and outside of the City of Pittsburgh for each individual  employee.   Local Tax Enabling Act, 53 P.S. § 6924.303( a).  e. Employers who have payroll expense consisting of work done within and outside of the  boundaries of the City of Pittsburgh , but who do not regularly maintain records showing  hours worked so as to be able to use the apportionment method under subsection (d)  of this regulation,  may use a representative test period or conduct a survey based on  factual data to arrive at a formula with which to calculate the percentage of payroll  expense attributable to the City of Pittsburgh. Any formula so established will be subject  to review and correction by the City of Pittsburgh. A thorough description explaining the  formula shall be attached to the first return each year. The data supporting the formula  shall be maintained for at least three (3) years as a part of offi ce records for audit and  review purposes.   f. Partners and Self -Employed individuals who have Taxable Distributions generated from  intrastate sales or services partly within the City of Pittsburgh or partly outside the City  of Pittsburgh shall report on the  Taxable Distributions  associated with sales or services  rendered within the City of Pittsburgh. Where it is impractical to determine the exact  Taxable Distributions , an apportionment formula may be used. Any formula so  established will be subject to review a nd correction by the City of Pittsburgh Finance  Department. The data supporting the formula must be maintained as a part of office  records for audit and review purposes. A thorough description explaining the formula  shall be attached to the first return ea ch year. The data supporting the formula shall be  maintained for at least three  (3) years as a part of office records for audit and review  purposes.   g. Partners and Self -employed individuals who have Compensation from sources within  and without Pennsylvania , may apportion their Compensation to the City using the  formula used reporting personal income tax on Form PA -40, 61 Pa. Code § 109.5, by  substituting the  word  “City” for the “Commonwealth”  where necessary.   In making that  calculation, a ll intrastate sale s and services within Pennsylvania are deemed allocated  to the City if the Partner ’s or Self -employed individual ’s sole office in Pennsylvania is ","According to the provided text, how may employers compute their payroll expense attributable to the City of Pittsburgh if their employees perform work partly within and partly outside of the city?",Employers whose employees perform work partly within and partly outside the City of Pittsburgh may compute their payroll expense attributable to the city by using the percentage of the total number of working hours employed within the City of Pittsburgh compared to the total number of working hours employed within and outside of the City of Pittsburgh for each individual employee.,Specific information questions,General Info and History of Pittsburgh/CMU,Use each employee’s working hours within Pittsburgh compared to their total working hours.
https://www.pittsburghpa.gov/City-Government/Finances-Budget/Property-Sales,   ,When was the Pittsburgh Soul Food Festival established?,The Pittsburgh Soul Food Festival was established in 2019.,Specific information questions,General Info and History of Pittsburgh/CMU,2019
https://www.pittsburghpa.gov/Resident-Services/Tree-Resources/Forestry-Division,  Contacting 311ADA & Disability RightsSub-menu  Take Our Accessibility SurveyDisability Resources CenterStatutes & PoliciesCity County Task Force on DisabilityMake an Accommodations RequestCCB Accessibility EntranceFile a GrievanceOEP NewsFAQsSnow RemovalSub-menu  Snow Plow TrackerSnow & IceRoad MaintenanceSub-menu  Street MaintenancePaving SchedulePotholesRoad SafetyFood ProgramsSub-menu  After School Feeding ProgramSummer Food ProgramBigBurghPets & AnimalsSub-menu  Dog LicenseAnimal ControlCommunity ProgrammingSub-menu  Love Your BlockCity CutsSnow AngelsBlack Pittsburgh MattersImmigrant and Refugee AffairsTree ResourcesSub-menu  Tree PlantingRequest Tree WorkForestry Division  Recreation & Events Sub-menu  ParksSub-menu  Our ParksFor KidsFor SeniorsDog ParksTennisCitiSportsOutdoor ActivitiesCity FarmsCommunity Garden PlotsPoolsSub-menu  Oliver Bath HouseOutdoor PoolsSpray ParksPool FeesRulesCitiparks LifeguardEventsSub-menu  Farmers MarketsDollar Bank Cinema In The ParkRoving Art CartARTWorksConcertsFootracesHolidays At City-County BuildingPistons in the Park Car CruisePittsburgh Cultural ActivitiesSummer Soul Line DancingPark FacilitiesSub-menu  Schenley Skating RinkRecreation CentersSpecial EventsSub-menu  Pittsburgh E-Arena TournamentAnnual Gingerbread House CompetitionIndependence Day CelebrationBlack History MonthCommunity FestivalsContact Special EventsSpecial Events NewsAbout ParksSub-menu  Citiparks Phone DirectoryParks RulesPark RangersPark MaintenanceParks FAQFilm & Event ManagementSub-menu  Important DocumentsSpecial Event & Block Party PermittingFilm PermitsSpecial Events CommitteePublic Event CalendarPark PermitsSub-menu,What types of recreational facilities are available through Citiparks?,"Citiparks offers a variety of recreational facilities including parks, dog parks, tennis courts, pools, spray parks, skating rinks, recreation centers, and Citiparks lifeguard services.",Specific information questions,General Info and History of Pittsburgh/CMU,"Parks, dog parks, tennis courts, pools, spray parks, skating rinks, recreation centers, and lifeguard services."
https://en.wikipedia.org/wiki/History_of_Pittsburgh,"  High culture[edit] Oakland became the city's predominant cultural and educational center, including three universities, multiple museums, a library, a music hall, and a botanical conservatory. Oakland's University of Pittsburgh erected what today is still the world's fourth-tallest educational building, the 42-story Cathedral of Learning.[61] It towered over Forbes Field, where the Pittsburgh Pirates played from 1909 to 1970.[39]",What is the name of the 42-story building erected by the University of Pittsburgh that currently stands as the world's fourth-tallest educational building?,"The University of Pittsburgh erected the 42-story Cathedral of Learning, which is still the world's fourth-tallest educational building.",Specific information questions,General Info and History of Pittsburgh/CMU,Cathedral of Learning
penguins_wiki_text.csv,"  Fanbase Iceburgh, the mascot of the Pittsburgh Penguins Despite Pittsburgh's long history with hockey and a small but loyal fanbase, the Penguins struggled with fan support early on in its history, at times averaging only 6,000 fans per game when Civic Arena had a seating capacity of over 16,000. Fan support was so low by the team's first bankruptcy that the NHL had no problem with the team being moved, something that would change decades later when the team faced another relocation threat. While the drafting of Mario Lemieux piqued interest in hockey locally, fans remained skeptical. John Steigerwald, brother of former Penguins broadcaster Paul Steigerwald,[98] noted in his autobiography that upon his arrival at KDKA-TV from WTAE-TV in 1985, the station cared more about the Pittsburgh Spirit of the Major Indoor Soccer League than the Penguins.[99] However, Lemieux's play steadily grew the fanbase in the area, which would only be reassured upon the arrival of Sidney Crosby after the team struggled both on the ice and in attendance following the Jaromir Jagr trade. Today, the Penguins are one of the NHL's most popular teams, especially among American non-Original Six franchises, and are considered second behind the Steelers among Pittsburgh's three major professional sports teams, taking advantage of both its success and the Pittsburgh Pirates struggles both on and off the field.[100] Especially notable was a 2007 survey done of the four major sports leagues' 122 teams. The Penguins surprised observers by being ranked 20th overall and third among NHL teams, while the Steelers were ranked number one and the Pirates (before the arrival of Andrew McCutchen and that team's turnaround)[101] ranked much lower on the list than its peers. The Penguins' popularity has at times rivaled that of the Steelers at the local level.[102]",What factors contributed to the Pittsburgh Penguins' growth in popularity?,"Despite initial struggles with low fan support and even a relocation threat, the Penguins' fanbase grew due to the arrival and play of Mario Lemiuex and Sidney Crosby, capitalizing on the Pittsburgh Pirates' struggles.",Specific information questions,General Info and History of Pittsburgh/CMU,"Mario Lemieux and Sidney Crosby's arrival, combined with the Pirates' decline, fueled the Penguins' popularity."
penguins_wiki_text.csv,"  The UPMC Lemieux Sports Complex under construction in Cranberry Township, Pennsylvania, in April 2015. The complex opened in August 2015, and is used by the Penguins as their practice facility. From 1995 to 2015, the IceoPlex at Southpointe in the South Hills suburbs served as the team's practice facility. Robert Morris University's 84 Lumber Arena has served as a secondary practice facility for the team. During the franchise's first pre-season training camp and pre-season exhibition games, the Brantford Civic Centre in Brantford, Ontario, served as its home,[92] and by the 1970s and continuing through the 1980s, the team was using the suburban Rostraver Ice Garden for training. In August 2015, the Penguins and the University of Pittsburgh Medical Center (UPMC) opened the UPMC Lemieux Sports Complex, combining a new team practice and training facility with a UPMC Sports Medicine treatment and research complex, in suburban Cranberry Township near the interchange between Interstate 79 and Pennsylvania Route 228.[93] The twin rink facility replaced both the IceoPlex at Southpointe and the 84 Lumber Arena as the Penguins' regular practice facility, freeing up the Consol Energy Center for other events on days the Penguins are not scheduled to play.[94] As with most other NHL arenas, the Penguins make use of a goal horn whenever the team scores a goal at home. It is also played just before the beginning of a home game, and after a Penguins victory. Their current goal horn made by Nathan Manufacturing, Inc. and introduced in 2005 to coincide with Sidney Crosby joining the team, was used at both the Civic Arena and the Consol Energy Center.[95][96]",What replaced the IceoPlex at Southpointe and the 84 Lumber Arena as the Penguins' regular practice facility?,"The UPMC Lemieux Sports Complex, which opened in August 2015, replaced both the IceoPlex at Southpointe and the 84 Lumber Arena as the Penguins' regular practice facility.",Specific information questions,General Info and History of Pittsburgh/CMU,UPMC Lemieux Sports Complex
                         In This Section   Police  Fire  Animal Care & Control  Emergency Medical Services  Office of Community Health and Safety  Health and Safety Resources  Meet the Staff  Community Office Hours  Join Our Team!  Community Engagement  Announcements & Press Releases,What is the name of the section for Office of Community Health and Safety,What is the designated section name for the Office of Community Health and Safety?,The text does not specify the name of the section for the Office of Community Health and Safety.,Specific information questions,General Info and History of Pittsburgh/CMU,The text doesn't specify the section name.
